subject_id,session_id,session_type,stage,image_set,session_number,session_date,plane_name,fov_index,targeted_structure,imaging_depth,frame_rate,scanimage_roi_index,genotype,name,in_capsule
782149,multiplane-ophys_782149_2025-03-25_09-46-08,TRAINING_0_gratings_autorewards_15min,TRAINING_0,,1,2025-03-25,VISp_0,0,VISp,40,10.63,0,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,multiplane-ophys_782149_2025-03-25_09-46-08_processed_2026-08-19_00-32-51,True
782149,multiplane-ophys_782149_2025-03-25_09-46-08,TRAINING_0_gratings_autorewards_15min,TRAINING_0,,1,2025-03-25,VISp_1,1,VISp,320,10.63,0,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,multiplane-ophys_782149_2025-03-25_09-46-08_processed_2026-08-19_00-32-51,True
782149,multiplane-ophys_782149_2025-03-25_09-46-08,TRAINING_0_gratings_autorewards_15min,TRAINING_0,,1,2025-03-25,VISp_2,2,VISp,80,10.63,0,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,multiplane-ophys_782149_2025-03-25_09-46-08_processed_2026-08-19_00-32-51,True
782149,multiplane-ophys_782149_2025-03-25_09-46-08,TRAINING_0_gratings_autorewards_15min,TRAINING_0,,1,2025-03-25,VISp_3,3,VISp,280,10.63,0,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,multiplane-ophys_782149_2025-03-25_09-46-08_processed_2026-08-19_00-32-51,True
782149,multiplane-ophys_782149_2025-03-25_09-46-08,TRAINING_0_gratings_autorewards_15min,TRAINING_0,,1,2025-03-25,VISp_4,4,VISp,120,10.63,0,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,multiplane-ophys_782149_2025-03-25_09-46-08_processed_2026-08-19_00-32-51,True
782149,multiplane-ophys_782149_2025-03-25_09-46-08,TRAINING_0_gratings_autorewards_15min,TRAINING_0,,1,2025-03-25,VISp_5,5,VISp,240,10.63,0,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,multiplane-ophys_782149_2025-03-25_09-46-08_processed_2026-08-19_00-32-51,True
782149,multiplane-ophys_782149_2025-03-25_09-46-08,TRAINING_0_gratings_autorewards_15min,TRAINING_0,,1,2025-03-25,VISp_6,6,VISp,160,10.63,0,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,multiplane-ophys_782149_2025-03-25_09-46-08_processed_2026-08-19_00-32-51,True
782149,multiplane-ophys_782149_2025-03-25_09-46-08,TRAINING_0_gratings_autorewards_15min,TRAINING_0,,1,2025-03-25,VISp_7,7,VISp,200,10.63,0,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,multiplane-ophys_782149_2025-03-25_09-46-08_processed_2026-08-19_00-32-51,True
782149,multiplane-ophys_782149_2025-03-28_10-55-25,TRAINING_1_gratings,TRAINING_1,,2,2025-03-28,VISp_0,0,VISp,160,9.48,0,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,multiplane-ophys_782149_2025-03-28_10-55-25_processed_2026-08-19_00-34-09,True
782149,multiplane-ophys_782149_2025-03-28_10-55-25,TRAINING_1_gratings,TRAINING_1,,2,2025-03-28,VISp_1,1,VISp,200,9.48,0,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,multiplane-ophys_782149_2025-03-28_10-55-25_processed_2026-08-19_00-34-09,True
