subject_id,session_id,name,session_type,stage,image_set,session_number,session_date,session_time,age_days,genotype,sex,date_of_birth,rig,project_name,processed_stamp,_id,in_capsule
782149,multiplane-ophys_782149_2025-03-25_09-46-08,multiplane-ophys_782149_2025-03-25_09-46-08_processed_2026-08-19_00-32-51,TRAINING_0_gratings_autorewards_15min,TRAINING_0,,1,2025-03-25,09:46:08.591468,108,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,Male,2024-12-07,MESO.2,LearningmFISHTask1A,2026-08-19_00-32-51,24865b94-ffd8-4eb9-b062-70fa46a17b39,True
782149,multiplane-ophys_782149_2025-03-28_10-55-25,multiplane-ophys_782149_2025-03-28_10-55-25_processed_2026-08-19_00-34-09,TRAINING_1_gratings,TRAINING_1,,2,2025-03-28,10:55:25.569080,111,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,Male,2024-12-07,MESO.1,LearningmFISHTask1A,2026-08-19_00-34-09,2bef1d11-dc35-4b8b-b825-7145bb0fe603,True
782149,multiplane-ophys_782149_2025-03-29_10-10-29,multiplane-ophys_782149_2025-03-29_10-10-29_processed_2026-08-19_00-33-54,TRAINING_1_gratings,TRAINING_1,,3,2025-03-29,10:10:29.493070,112,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,Male,2024-12-07,MESO.1,Learning mFISH-V1omFISH,2026-08-19_00-33-54,c1a6d250-dea5-4de5-8185-29a92e405878,True
782149,multiplane-ophys_782149_2025-03-31_12-23-33,multiplane-ophys_782149_2025-03-31_12-23-33_processed_2026-08-19_00-34-28,TRAINING_1_gratings,TRAINING_1,,4,2025-03-31,12:23:33.753970,114,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,Male,2024-12-07,MESO.1,LearningmFISHTask1A,2026-08-19_00-34-28,edbe415f-da52-4f07-86b3-957fb399c4a6,True
782149,multiplane-ophys_782149_2025-04-01_09-42-11,multiplane-ophys_782149_2025-04-01_09-42-11_processed_2026-08-19_00-33-58,TRAINING_2_gratings_flashed,TRAINING_2,,5,2025-04-01,09:42:11.814685,115,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,Male,2024-12-07,MESO.1,LearningmFISHTask1A,2026-08-19_00-33-58,b670a19a-435f-401b-a63c-53ce8bd9c29f,True
782149,multiplane-ophys_782149_2025-04-02_12-16-24,multiplane-ophys_782149_2025-04-02_12-16-24_processed_2026-08-19_00-34-02,TRAINING_3_images_A_10uL_reward,TRAINING_3,A,6,2025-04-02,12:16:24.347832,116,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,Male,2024-12-07,MESO.1,LearningmFISHTask1A,2026-08-19_00-34-02,81e1e0cc-2326-405b-b508-cf3b564341e2,True
782149,multiplane-ophys_782149_2025-04-04_11-39-31,multiplane-ophys_782149_2025-04-04_11-39-31_processed_2026-08-19_00-34-04,TRAINING_3_images_A_10uL_reward,TRAINING_3,A,7,2025-04-04,11:39:31.012983,118,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,Male,2024-12-07,MESO.1,Learning mFISH-V1omFISH,2026-08-19_00-34-04,0c7751aa-8f88-44b0-b41d-9549729a73b6,True
782149,multiplane-ophys_782149_2025-04-08_09-28-39,multiplane-ophys_782149_2025-04-08_09-28-39_processed_2026-08-19_00-34-01,TRAINING_3_images_A_10uL_reward,TRAINING_3,A,8,2025-04-08,09:28:39.721364,122,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,Male,2024-12-07,MESO.1,LearningmFISHTask1A,2026-08-19_00-34-01,c4f77a4a-2212-4c31-bdfe-ed52fb96c1cd,True
782149,multiplane-ophys_782149_2025-04-09_09-46-45,multiplane-ophys_782149_2025-04-09_09-46-45_processed_2026-08-19_00-33-57,TRAINING_4_images_A_training,TRAINING_4,A,9,2025-04-09,09:46:45.121922,123,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,Male,2024-12-07,MESO.1,LearningmFISHTask1A,2026-08-19_00-33-57,050cad7b-523b-4343-bcd8-e0a9a2de4fd2,True
782149,multiplane-ophys_782149_2025-04-10_09-26-55,multiplane-ophys_782149_2025-04-10_09-26-55_processed_2026-08-19_00-34-32,TRAINING_5_images_A_epilogue,TRAINING_5,A,10,2025-04-10,09:26:55.042787,124,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,Male,2024-12-07,MESO.1,LearningmFISHTask1A,2026-08-19_00-34-32,66bacb53-530a-4932-8cda-1639e9c81422,True
