project_name,session_type,stimulus_category,_id,name,subject_id,genotype,date_of_birth,age,sex,species,modality,session_id,session_number,session_date,session_start_time,session_end_time,rig_id,mouse_platform,targeted_structure,n_planes,imaging_depths_um,depth_min_um,depth_max_um,n_coupled_pairs,frame_rate_hz,n_frames,n_rois_total,n_soma_total,n_rois_min,n_rois_max,image_set,n_stimulus_presentations,n_trials,epoch_labels,stimulus_labels,data_level,pipeline_version,n_data_processes,has_original_metadata,raw_matches_processed,processing_date
LearningmFISHTask1A,TRAINING_0_gratings_autorewards_15min,static_gratings,5ab56cbd-9671-44e4-ae60-bc05fea48d4b,multiplane-ophys_782149_2025-03-25_09-46-08_processed_2026-08-19_00-32-51,782149,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2024-12-07,108,Male,Mus musculus,pophys|behavior,multiplane-ophys_782149_2025-03-25_09-46-08,1,2025-03-25,09:46:08.591468,10:01:49.856308,MESO.2,disc,VISp,8,40|80|120|160|200|240|280|320,40,320,4,10.63,10112,631,571,62,95,,121.0,120.0,spontaneous,gratings_0|gratings_180|gratings_270|gratings_90,derived,v1,50,True,True,2026-08-19
LearningmFISHTask1A,TRAINING_1_gratings,static_gratings,c1dbab5f-c0e7-49cf-97fa-1b4035a4ea48,multiplane-ophys_782149_2025-03-28_10-55-25_processed_2026-08-19_00-34-09,782149,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2024-12-07,111,Male,Mus musculus,pophys|behavior,multiplane-ophys_782149_2025-03-28_10-55-25,2,2025-03-28,10:55:25.569080,11:56:06.280000,MESO.1,disc,VISp,8,40|80|114|160|200|244|280|310,40,310,4,9.48,34506,680,614,73,99,,261.0,943.0,spontaneous|change_detection,gratings_0|gratings_180|gratings_270|gratings_90,derived,v1,50,True,True,2026-08-19
Learning mFISH-V1omFISH,TRAINING_1_gratings,static_gratings,feb61843-d7d2-4aa1-9dc4-2f3b9aa26b7d,multiplane-ophys_782149_2025-03-29_10-10-29_processed_2026-08-19_00-33-54,782149,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2024-12-07,112,Male,Mus musculus,pophys|behavior,multiplane-ophys_782149_2025-03-29_10-10-29,3,2025-03-29,10:10:29.493070,11:11:17.293530,MESO.1,disc,VISp,8,43|80|114|158|198|246|276|306,43,306,4,9.48,34577,686,620,61,101,,307.0,673.0,spontaneous|change_detection,gratings_0|gratings_180|gratings_270|gratings_90,derived,v1,50,True,True,2026-08-19
LearningmFISHTask1A,TRAINING_1_gratings,static_gratings,f6110279-7ae3-4ac8-9fd9-7d91ab21c483,multiplane-ophys_782149_2025-03-31_12-23-33_processed_2026-08-19_00-34-28,782149,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2024-12-07,114,Male,Mus musculus,pophys|behavior,multiplane-ophys_782149_2025-03-31_12-23-33,4,2025-03-31,12:23:33.753970,13:24:21.937810,MESO.1,disc,VISp,8,40|80|115|160|200|245|280|310,40,310,4,9.48,34577,711,648,72,104,,295.0,686.0,spontaneous|change_detection,gratings_0|gratings_180|gratings_270|gratings_90,derived,v1,50,True,True,2026-08-19
LearningmFISHTask1A,TRAINING_2_gratings_flashed,flashed_gratings,1fa67b1e-e083-47f5-973b-ed99f6423066,multiplane-ophys_782149_2025-04-01_09-42-11_processed_2026-08-19_00-33-58,782149,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2024-12-07,115,Male,Mus musculus,pophys|behavior,multiplane-ophys_782149_2025-04-01_09-42-11,5,2025-04-01,09:42:11.814685,10:42:58.213565,MESO.1,disc,VISp,8,40|85|115|160|200|240|280|300,40,300,4,9.48,34563,687,633,64,102,,4804.0,550.0,spontaneous|change_detection,gratings_0|gratings_180|gratings_270|gratings_90,derived,v1,50,True,True,2026-08-19
LearningmFISHTask1A,TRAINING_3_images_A_10uL_reward,flashed_images,171360f9-9e13-4798-ab39-ce8cc386bae7,multiplane-ophys_782149_2025-04-02_12-16-24_processed_2026-08-19_00-34-02,782149,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2024-12-07,116,Male,Mus musculus,pophys|behavior,multiplane-ophys_782149_2025-04-02_12-16-24,6,2025-04-02,12:16:24.347832,13:17:10.681342,MESO.1,disc,VISp,8,40|80|116|160|200|245|280|310,40,310,4,9.48,34560,681,612,66,100,A,4804.0,587.0,spontaneous|change_detection,im061|im062|im063|im065|im066|im069|im077|im085,derived,v1,50,True,True,2026-08-19
Learning mFISH-V1omFISH,TRAINING_3_images_A_10uL_reward,flashed_images,7afa478c-dd64-449f-8c91-60433aac52f6,multiplane-ophys_782149_2025-04-04_11-39-31_processed_2026-08-19_00-34-04,782149,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2024-12-07,118,Male,Mus musculus,pophys|behavior,multiplane-ophys_782149_2025-04-04_11-39-31,7,2025-04-04,11:39:31.012983,12:40:12.291013,MESO.1,disc,VISp,8,40|80|115|160|200|240|280|305,40,305,4,9.48,34515,682,621,67,108,A,4797.0,460.0,spontaneous|change_detection,im061|im062|im063|im065|im066|im069|im077|im085,derived,v1,50,True,True,2026-08-19
LearningmFISHTask1A,TRAINING_3_images_A_10uL_reward,flashed_images,7e13d055-5552-4c2d-b274-358cbf290221,multiplane-ophys_782149_2025-04-08_09-28-39_processed_2026-08-19_00-34-01,782149,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2024-12-07,122,Male,Mus musculus,pophys|behavior,multiplane-ophys_782149_2025-04-08_09-28-39,8,2025-04-08,09:28:39.721364,10:29:27.521654,MESO.1,disc,VISp,8,35|75|110|155|195|235|275|300,35,300,4,9.48,34576,683,623,69,103,A,4806.0,649.0,spontaneous|change_detection,im061|im062|im063|im065|im066|im069|im077|im085,derived,v1,50,True,True,2026-08-19
LearningmFISHTask1A,TRAINING_4_images_A_training,flashed_images,af9050dc-d935-4f34-8723-a4655d85991e,multiplane-ophys_782149_2025-04-09_09-46-45_processed_2026-08-19_00-33-57,782149,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2024-12-07,123,Male,Mus musculus,pophys|behavior,multiplane-ophys_782149_2025-04-09_09-46-45,9,2025-04-09,09:46:45.121922,10:47:25.999762,MESO.1,disc,VISp,8,40|80|115|160|200|240|280|305,40,305,4,9.48,34512,695,644,75,98,A,4797.0,844.0,spontaneous|change_detection,im061|im062|im063|im065|im066|im069|im077|im085,derived,v1,50,True,True,2026-08-19
LearningmFISHTask1A,TRAINING_5_images_A_epilogue,flashed_images,785dc39a-d013-46fd-bb09-4ce83e83f3b1,multiplane-ophys_782149_2025-04-10_09-26-55_processed_2026-08-19_00-34-32,782149,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2024-12-07,124,Male,Mus musculus,pophys|behavior,multiplane-ophys_782149_2025-04-10_09-26-55,10,2025-04-10,09:26:55.042787,10:42:00.335217,MESO.1,disc,VISp,8,35|75|110|155|195|235|275|300,35,300,4,9.48,42705,699,618,74,112,A,4802.0,835.0,spontaneous|change_detection|natural_movie_one,im061|im062|im063|im065|im066|im069|im077|im085,derived,v1,50,True,True,2026-08-19
LearningmFISHTask1A,TRAINING_5_images_A_handoff_ready,flashed_images,c82d523e-fc8b-4cd2-9384-2c22eb0741d5,multiplane-ophys_782149_2025-04-11_09-47-54_processed_2026-08-19_00-34-37,782149,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2024-12-07,125,Male,Mus musculus,pophys|behavior,multiplane-ophys_782149_2025-04-11_09-47-54,11,2025-04-11,09:47:54.486287,11:03:01.296977,MESO.1,disc,VISp,8,40|80|115|160|200|240|280|305,40,305,4,9.48,42722,674,606,68,99,A,4804.0,786.0,spontaneous|change_detection|natural_movie_one,im061|im062|im063|im065|im066|im069|im077|im085,derived,v1,50,True,True,2026-08-19
LearningmFISHTask1A,TRAINING_5_images_A_handoff_lapsed,flashed_images,1f20a8ab-704d-4d22-b68d-226c887a1029,multiplane-ophys_782149_2025-04-14_12-01-21_processed_2026-08-19_00-34-31,782149,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2024-12-07,128,Male,Mus musculus,pophys|behavior,multiplane-ophys_782149_2025-04-14_12-01-21,12,2025-04-14,12:01:21.281902,13:16:26.642562,MESO.1,disc,VISp,8,40|80|115|160|200|240|280|305,40,305,4,9.48,42703,672,620,68,105,A,4802.0,979.0,spontaneous|change_detection|natural_movie_one,im061|im062|im063|im065|im066|im069|im077|im085,derived,v1,50,True,True,2026-08-19
LearningmFISHTask1A,OPHYS_1_images_A,familiar_images,b7fbb112-8ab2-4e72-93e3-ef1173916124,multiplane-ophys_782149_2025-04-15_09-36-40_processed_2026-08-19_00-34-44,782149,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2024-12-07,129,Male,Mus musculus,pophys|behavior,multiplane-ophys_782149_2025-04-15_09-36-40,13,2025-04-15,09:36:40.772556,10:51:53.638006,MESO.1,disc,VISp,8,40|81|115|160|200|240|280|305,40,305,4,9.48,42778,717,660,75,103,A,4812.0,716.0,spontaneous|change_detection|natural_movie_one,im061|im062|im063|im065|im066|im069|im077|im085|omitted,derived,v1,50,True,True,2026-08-19
LearningmFISHTask1A,OPHYS_1_images_A,familiar_images,3e1b3985-69ee-485a-9978-b800ac2ff5da,multiplane-ophys_782149_2025-04-16_09-36-19_processed_2026-08-19_00-34-50,782149,Slc32a1-IRES-Cre/wt;Oi1(TIT2L-jGCaMP8s-WPRE-ICL-IRES-tTA2)/wt,2024-12-07,130,Male,Mus musculus,pophys|behavior,multiplane-ophys_782149_2025-04-16_09-36-19,14,2025-04-16,09:36:19.737038,10:51:24.629288,MESO.1,disc,VISp,8,45|85|120|160|200|245|280|310,45,310,4,9.48,42702,689,616,65,108,A,4801.0,570.0,spontaneous|change_detection|natural_movie_one,im061|im062|im063|im065|im066|im069|im077|im085|omitted,derived,v1,50,True,True,2026-08-19
