_id,name,subject_id,genotype,date_of_birth,sex,session_start_time,session_end_time,stimulus_epochs,project_name,modality,data_level,subject_procedure_details,virus_names
63df2bac-e58a-42e8-8edf-799851dee447,ecephys_655565_2023-04-03_13-34-16_nwb_2025-07-15_12-45-06,655565,Chat-IRES-Cre-neo/Chat-IRES-Cre-neo,2022-10-24,Male,2023-04-03T20:30:00Z,2023-04-03T22:30:00Z,[],Cell Type Lookup Table,"['Extracellular electrophysiology', 'Behavior videos']",raw,[],[]
be7e6c7f-c5a2-420e-8b0d-f709353df6f1,ecephys_655565_2023-04-05_16-17-25_nwb_2025-06-23_14-26-35,655565,Chat-IRES-Cre-neo/Chat-IRES-Cre-neo,2022-10-24,Male,2023-04-05T16:17:25-07:00,2023-04-05T17:05:43-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Generic surgery procedure']]","[[], []]"
f8e4c6d5-7176-4f21-9b88-d04238fda04c,ecephys_655568_2023-05-01_15-26-47_nwb_2025-06-23_16-06-31,655568,Chat-IRES-Cre-neo/Chat-IRES-Cre-neo,2022-10-24,Female,2023-05-01T15:26:47-07:00,2023-05-01T16:13:33-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Generic surgery procedure']]","[[], []]"
5826720c-6582-4ea7-94e0-4c9aa4afa7a9,ecephys_655568_2023-05-03_15-21-12_nwb_2025-06-23_16-07-27,655568,Chat-IRES-Cre-neo/Chat-IRES-Cre-neo,2022-10-24,Female,2023-05-03T15:21:12-07:00,2023-05-03T16:07:54-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Generic surgery procedure']]","[[], []]"
cbde19ea-5cde-4a1a-af95-231903f1c6e2,ecephys_655571_2023-05-09_13-53-48_nwb_2025-06-23_15-59-17,655571,Chat-IRES-Cre-neo/Chat-IRES-Cre-neo,2022-10-24,Female,2023-05-09T13:53:48-07:00,2023-05-09T14:41:36-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Generic surgery procedure']]","[[], []]"
01ecc549-edaf-4594-885d-a12f97e87599,ecephys_655571_2023-05-15_13-39-49_nwb_2025-06-23_16-03-49,655571,Chat-IRES-Cre-neo/Chat-IRES-Cre-neo,2022-10-24,Female,2023-05-15T13:39:49-07:00,2023-05-15T14:26:36-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Generic surgery procedure']]","[[], []]"
714a99ce-6734-415c-8fa5-287d33a2fd27,ecephys_655572_2023-05-09_15-03-29_nwb_2025-06-23_16-11-26,655572,Chat-IRES-Cre-neo/Chat-IRES-Cre-neo,2022-10-24,Female,2023-05-09T15:03:29-07:00,2023-05-09T15:51:02-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Generic surgery procedure']]","[[], []]"
4db46f40-57a6-4d37-bff6-eda1f8e09023,ecephys_655572_2023-05-15_15-06-36_nwb_2025-06-23_16-16-58,655572,Chat-IRES-Cre-neo/Chat-IRES-Cre-neo,2022-10-24,Female,2023-05-15T15:06:36-07:00,2023-05-15T15:53:44-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Generic surgery procedure']]","[[], []]"
9e4044f0-bc26-47cb-9f5d-e605a0076cf4,ecephys_660104_2023-07-24_18-18-13_nwb_2025-07-15_12-23-34,660104,Sst-IRES-Cre/wt,2022-11-30,Female,2023-07-24T18:18:13-07:00,2023-07-24T19:04:58-07:00,['Laser pulses'],Cell Type LUT,"['Extracellular electrophysiology', 'Behavior videos']",derived,"[['Perfusion'], ['Brain injection'], ['Generic surgery procedure']]","[[], [['(v1v2 upgrade) No injection material provided']], []]"
166a3fda-dee1-47a3-938c-1ee549bc3448,ecephys_661398_2023-03-31_17-01-09_nwb_2025-07-16_09-24-39,661398,Adora2a-Cre/wt,2022-12-10,Male,2023-04-01T00:00:00Z,2023-04-01T02:00:00Z,[],Cell Type Lookup Table,"['Extracellular electrophysiology', 'Behavior videos']",raw,[],[]
